CustomerID,Email,Gender,MortgageType,MaritalStatus,MonthlyPayment,LoanBalance,LoanDueDate,SSN,CompanyName,LoanOriginDate
52862-011,gdavis0@va.gov,Female,15 Year Fixed,Single,4635.5,92584.04,2016-04-12,538-76-3571,Edgepulse,2016-02-22
54868-0427,jramirezrf@flavors.me,Male,30 Year Fixed,Divorced,4484.76,20245.55,2016-04-15,238-69-0233,Vidoo,2015-12-26
55648-273,aramos1@china.com.cn,Male,15 Year Variable,Divorced,1160.99,37136.81,2016-04-02,585-26-1724,Muxo,2016-02-03
52125-492,ksnyder2@comsenz.com,Female,30 Year Fixed,Married,4714.9,19229.53,2016-04-08,408-31-5578,Cogilith,2015-10-01
43742-0300,dtaylor3@nationalgeographic.com,Female,15 Year Variable,Married,3328.67,37599.26,2016-04-11,113-72-4820,Oyondu,2015-11-23
52726-4083,rroberts4@istockphoto.com,Female,15 Year Fixed,Single,2626.22,74942.77,2016-04-21,130-68-2008,Kayveo,2016-02-02
55316-966,isimpson5@gravatar.com,Female,15 Year Fixed,Widowed,3892.96,44968.32,2016-04-03,466-76-3666,Demizz,2016-03-05
62225-600,llane6@phpbb.com,Male,15 Year Variable,Single,3897.39,23193.25,2016-04-03,916-28-8344,Photobug,2015-12-19
60505-0759,jmontgomery7@jimdo.com,Male,15 Year Fixed,Married,3494.77,50406.85,2016-04-11,545-36-6434,Thoughtbeat,2015-06-12
61715-121,mfoster8@wp.com,Female,15 Year Fixed,Single,1054.54,94086.71,2016-04-15,427-77-3712,Skaboo,2015-01-25
52605-141,ereyes9@wiley.com,Male,15 Year Fixed,Married,1469.25,85724.01,2016-04-14,745-92-7950,Divavu,2015-12-01
0781-3152,jmillera@wikispaces.com,Male,15 Year Fixed,Single,1733.07,93526.4,2016-04-21,310-36-2149,Zazio,2015-08-31
0781-5382,cperezb@cnbc.com,Female,30 Year Fixed,Married,4952.39,33141.34,2016-04-29,543-26-2663,Kayveo,2015-09-19
0904-6019,ndiazc@people.com.cn,Female,15 Year Variable,Married,1096.39,65166.51,2016-04-19,200-05-3432,Kwinu,2015-01-13
49643-124,lmorenod@creativecommons.org,Male,15 Year Variable,Married,1944.6,21226,2016-04-25,112-73-1792,Jabberstorm,2015-11-29
68180-324,abowmane@nifty.com,Male,15 Year Variable,Divorced,3075.85,58301.63,2016-04-19,988-33-8275,Photojam,2015-07-29
49349-781,mleef@guardian.co.uk,Male,15 Year Variable,Married,1204.22,88419.18,2016-04-06,432-83-3354,Demimbu,2015-01-18
55154-8251,nbutlerg@sfgate.com,Male,15 Year Variable,Married,1529.44,65918.83,2016-04-20,586-28-9305,Twinte,2015-02-13
52380-1272,mmatthewsh@howstuffworks.com,Male,15 Year Variable,Divorced,2165.39,20807.06,2016-04-23,566-55-8888,Oodoo,2015-12-30
